dataset,task,n_rows,n_columns,n_components,pca_train_rmse,ae_train_rmse,pca_test_rmse,ae_test_rmse,pca_variance_explained,mean_principal_angle_deg,max_principal_angle_deg,train_rmse_diff_ae_minus_pca,test_rmse_diff_ae_minus_pca,ae_latent_reg_MSE,ae_latent_reg_RMSE,ae_latent_reg_MAE
hotel_bookings_updated_2024,Classification,119390,16,12,0.329895098786041,0.3300216901303547,0.3342700804222956,0.3345085681943608,0.8839138387167457,3.214118388470457,32.44807568228639,0.0001265913443136,0.0002384877720652,,,
hotel_bookings_updated_2024,Classification,119390,16,13,0.2574394854758846,0.2575164232178956,0.2591233837965723,0.2592534900907166,0.9293065720724392,3.8633909661651775,47.692466769845794,7.693774201100734e-05,0.0001301062941442,,,
hotel_bookings_updated_2024,Classification,119390,16,14,0.1749282832461883,0.1749908500890957,0.1746362233572838,0.1747053288949364,0.9673601021019108,3.656322739670371,49.9755662132977,6.256684290742442e-05,6.910553765265837e-05,,,
hotel_bookings_updated_2024,Classification,119390,16,15,1.0740838156333169e-15,0.010039781785964,1.0859363237085001e-15,0.0100239857864102,1.0,1.69294617251672,25.337916805459724,0.010039781785963,0.0100239857864091,,,
hotel_bookings_updated_2024,Classification,119390,16,16,1.0633761302928497e-15,0.0020614953050252,1.0750342239172153e-15,0.0020791101616474,1.0,0.0037085080107263,0.0123236386147523,0.0020614953050242,0.0020791101616463,,,
iris_flowers,Classification,150,4,1,0.5261398346656074,0.5262422338087255,0.4539610302784126,0.4529604087277101,0.7231768743780471,2.113519304441483,2.113519304441483,0.000102399143118,-0.0010006215507025,,,
iris_flowers,Classification,150,4,2,0.2113539107560251,0.2115352631474497,0.18659900120609,0.1871440956909591,0.955329524408134,0.320001411770736,0.6155926784606205,0.0001813523914245,0.000545094484869,,,
iris_flowers,Classification,150,4,3,0.0695401121651322,0.0696164179516672,0.0837151970467221,0.0835229151678893,0.9951641728000608,0.4823274313457997,1.4469822940373993,7.630578653504416e-05,-0.0001922818788327,,,
iris_flowers,Classification,150,4,4,6.934719599329909e-16,1.1073774811335292e-05,7.018729914133758e-16,1.2645398348206892e-05,1.0,0.0073557062450433,0.0124378760669696,1.107377481064182e-05,1.2645398347505018e-05,,,
student_performance_analysis,Regression,50,5,1,0.7464166327075428,1.025918011572812,0.7819193677709532,1.038362995163396,0.442862210417533,81.50636738506351,81.50636738506351,,,142.6292474838805,11.942748740716288,10.086736297607423
student_performance_analysis,Regression,50,5,2,0.5487544122996023,1.0209519256602984,0.7469872015494887,1.090079084479399,0.6988685949817179,49.8241423820336,77.71083136794051,,,119.02950438438089,10.91006436206409,9.32610549926758
student_performance_analysis,Regression,50,5,3,0.3594665271698585,0.965380563438041,0.5576510190524546,0.9601261998383356,0.8707838158444413,27.38510020833071,72.24980198253495,,,50.46475768557274,7.10385512841955,6.637495574951174
student_performance_analysis,Regression,50,5,4,2.787187631648984e-15,1.019984783204151,4.086693596362276e-15,1.0317002980804666,1.0,13.149802150766076,52.58705642218335,,,50.33022730342511,7.0943799801973615,6.63749710083008
student_performance_analysis,Regression,50,5,5,2.7837457382977256e-15,1.083475340458037,7.346902700449465e-16,1.060626325127409,1.0,0.0002040068858305,0.0010200344291527,,,50.33023591916709,7.0943805874203765,6.63749710083008
